@relation credit-rating-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Normalize-N1.0-L2.0

@attribute A1 {b,a}
@attribute A2 numeric
@attribute A3 numeric
@attribute A4 {u,y,l,t}
@attribute A5 {g,p,gg}
@attribute A6 {c,d,cc,i,j,k,m,r,q,w,x,e,aa,ff}
@attribute A7 {v,h,bb,j,n,z,dd,ff,o}
@attribute A8 numeric
@attribute A9 {t,f}
@attribute A10 {t,f}
@attribute A11 numeric
@attribute A12 {t,f}
@attribute A13 {g,p,s}
@attribute A14 numeric
@attribute A15 numeric
@attribute class {+,-}

@data
b,0.030565,0.001788,y,p,w,v,0.000072,t,t,0.000841,f,g,0.042066,0.998645,+
a,0.019023,0.006499,u,g,c,v,0.001833,t,t,0.002333,f,g,0,0.999794,+
b,0.169962,0.006389,u,g,c,h,0.016665,f,f,0,t,g,0.985289,0,+
a,0.156303,0.005776,u,g,c,h,0.014811,t,t,0.019748,f,g,0.987384,0,+
b,0.23801,0.007718,u,g,d,v,0.000954,f,f,0,f,g,0.971232,0,-
b,0.957722,0.122785,u,g,cc,v,0.085949,t,t,0.24557,t,g,0,0,+
b,0.968821,0.093422,u,g,c,h,0.229472,f,f,0,t,g,0,0,-
a,0.031293,0.015788,u,g,w,v,0.002701,t,t,0.009971,t,g,0.066475,0.997119,+
a,0.009559,0.000959,u,g,q,h,0.000959,t,t,0.002931,t,g,0.058621,0.998229,+
a,0.097953,0.010655,u,g,m,v,0.009909,f,t,0.003552,t,g,0.994444,0.035516,-
b,0.152227,0.003209,u,g,k,v,0.006418,f,f,0,t,g,0.98832,0,-
a,0.110477,0.008814,u,g,j,j,0,f,t,0.004803,f,g,0.960669,0.254577,-
a,0.017532,0.003278,y,p,q,h,0.003478,t,t,0.006086,f,g,0,0.999816,+
b,0.999966,0.007417,u,g,m,v,0.003708,f,f,0,f,s,0,0,-
b,0.029662,0.001812,u,g,cc,h,0.005535,t,t,0.009797,f,g,0.434316,0.9002,+
b,0.025274,0.011662,u,g,e,v,0.001666,f,f,0,f,g,0.999611,0,-
a,0.053342,0.029357,y,p,q,h,0.000484,f,f,0,f,g,0.998145,0,-
b,0.039603,0.01968,u,g,w,v,0.00823,t,f,0,t,g,0.697027,0.715633,+
b,0.062273,0.003905,u,g,d,h,0.004881,t,t,0.01562,f,g,0.52068,0.851312,+
b,0.032472,0.003494,u,g,c,bb,0.005344,t,t,0.013153,f,g,0.096184,0.994726,+
a,0.112417,0.008516,u,g,q,v,0.001703,f,t,0.006813,f,g,0.735821,0.667689,-
b,0.251506,0.010585,u,g,k,v,0.00127,t,f,0,f,g,0.967797,0,-
b,0.003566,0.000496,u,g,cc,v,0.000089,t,t,0.000992,f,g,0,0.999993,+
b,0.777932,0.371576,y,p,k,h,0.037158,f,f,0,t,g,0,0.505344,-
b,0.375314,0.17212,u,g,c,v,0.030982,t,t,0.055823,t,g,0.744302,0.521011,+
a,0.019618,0.000712,u,g,c,v,0.001711,t,t,0.003421,t,g,0.20528,0.978499,+
b,0.180283,0.011901,y,p,e,dd,0,f,f,0,f,g,0.983543,0,-
b,0.050283,0.007646,u,g,i,bb,0.006951,f,f,0,f,g,0.291939,0.955058,-
a,0.193163,0.018252,y,p,j,j,0,f,f,0,f,g,0.973421,0.121678,-
?,0.054343,0.028281,u,g,c,bb,0.010536,t,t,0.004436,f,g,0.161921,0.984834,+
b,0.893255,0.443861,u,g,cc,v,0.017291,f,f,0,f,g,0,0.069164,-
a,0.184255,0.018773,u,g,k,h,0.004095,f,f,0,t,s,0.982691,0,-
b,0.141359,0.008835,y,p,k,v,0.000883,f,f,0,f,g,0.989515,0.028272,-
a,0.023434,0.011601,u,g,d,v,0.000928,f,f,0,t,g,0.167051,0.985601,-
a,0.00979,0.000332,y,p,c,v,0.0005,f,t,0.0005,f,g,0.999951,0.001,-
a,0.081378,0.001047,u,g,aa,v,0.000623,f,f,0,f,g,0.99667,0.004983,-
a,0.218108,0.006572,u,g,c,v,0.0213,f,t,0.012171,t,g,0.973694,0.060856,-
b,0.086679,0.0026,y,p,d,v,0.003467,f,f,0,t,g,0.996227,0,+
b,0.258111,0.032183,y,p,cc,v,0.012069,f,f,0,t,g,0.965504,0,-
b,0.267896,0.014439,u,g,w,v,0.021659,f,t,0.009626,t,g,0.962615,0.028878,-
b,0.217004,0.007503,y,p,i,bb,0.003607,t,t,0.072142,t,g,0.952277,0.201998,-
a,0.128713,0.003065,u,g,c,v,0.008172,f,f,0,f,g,0.980672,0.147101,-
b,0.006318,0.001299,u,g,ff,ff,0.000565,t,t,0.000565,f,g,0,0.999979,+
a,?,?,?,?,?,?,?,f,f,?,f,p,?,?,+
b,0.895763,0.150617,u,g,e,z,0.27385,t,t,0.095847,t,g,0.301235,0,+
b,0.001688,0.000025,u,g,m,v,0.000017,t,t,0.000199,f,g,0.017207,0.999851,+
b,0.03543,0.00544,u,g,m,v,0.00117,t,t,0.004533,t,g,0.097913,0.994538,+
a,0.996294,0.086011,u,g,ff,ff,0,f,f,0,f,s,0,0,-
b,0.004188,0.002274,u,g,c,v,0.000023,f,t,0.00036,f,g,0,0.999989,-
b,0.06084,0.009631,u,g,w,h,0.019577,t,t,0.015156,f,g,0,0.997794,+
a,0.006878,0.001738,u,g,q,v,0.000793,t,t,0.002147,f,g,0.039575,0.999189,+
b,0.059949,0.014468,u,g,ff,ff,0.017961,t,t,0.014967,t,g,0,0.997823,+
b,0.260776,0.017415,y,p,k,ff,0,f,f,0,f,g,0.965242,0,-
a,0.098462,0.002944,u,g,w,v,0.001036,f,t,0.004146,t,g,0.994989,0.016583,-
b,0.124032,0.005103,u,g,c,v,0.00471,f,f,0,f,g,0,0.992254,-
a,0.372503,0.010324,u,g,i,o,0.002591,f,f,0,f,g,0,0.92797,-
a,?,?,u,g,d,v,?,t,f,?,t,g,?,?,-
a,0.987433,0.138056,u,g,q,h,0.048506,t,t,0.0597,f,g,0,0,+
b,0.942167,0.219615,u,g,x,h,0.178563,t,t,0.17946,f,g,0,0,+
a,0.117989,0.039202,u,g,aa,v,0.006402,t,f,0,f,g,0.723861,0.67862,+
b,0.936668,0.350084,u,g,aa,v,0.009725,f,f,0,t,g,0,0,-
b,0.027594,0.002385,u,g,w,v,0.002861,t,t,0.010013,f,g,0.273939,0.961292,+
a,0.088624,0.00301,u,g,w,v,0.007536,f,f,0,f,g,0.995775,0.022631,-
?,0.169852,0.003747,u,g,q,v,0.000468,f,f,0,t,g,0.985462,0,-
b,0.012244,0.000445,u,g,m,v,0.000043,f,t,0.002034,f,g,0.129155,0.991547,-
a,0.213583,0.10638,u,g,cc,h,0.003448,t,t,0.010293,t,g,0.823453,0.514658,+
b,0.219921,0.10186,u,g,q,h,0.012951,t,f,0,f,g,0.970099,0,+
b,?,?,?,?,?,?,?,f,f,?,f,p,?,?,+
a,0.200244,0.107774,u,g,d,v,0.004473,f,f,0,f,g,0.862192,0.452651,-
b,0.018034,0.003763,y,p,i,v,0.000941,f,f,0,t,g,0.338662,0.940727,-
a,0.022213,0.006019,u,g,aa,v,0.000161,f,f,0,f,g,0.214805,0.976386,-
b,0.003667,0.000265,u,g,x,h,0.000133,t,t,0.00053,f,g,0.018554,0.999821,+
b,0.565318,0.164181,u,g,e,z,0.093913,t,t,0.007366,t,g,0,0.802861,+
a,0.24586,0.000633,u,g,ff,ff,0,t,t,0.003837,f,g,0.890129,0.383676,+
?,0.271095,0.011229,y,p,?,?,0,f,f,0,t,g,0.962466,0.006416,-
b,0.048761,0.001036,u,g,w,v,0.000317,f,t,0.001918,f,g,0.521759,0.851695,-
a,0.232887,0.026825,u,g,c,v,0.000759,f,f,0,f,g,0.972134,0,-
b,0.092457,0.003556,u,g,q,v,0.006223,t,f,0,t,g,0.995691,0,+
b,0.006818,0.000803,u,g,c,v,0.000665,t,t,0.003658,t,g,0.066517,0.997755,+
b,0.08777,0.010595,u,g,q,h,0.010595,t,t,0.012714,t,g,0.995947,0,+
b,0.022379,0.000256,u,g,aa,v,0.00005,f,f,0,f,g,0.349667,0.936607,-
b,0.098074,0.004254,y,p,m,v,0.000411,f,f,0,f,s,0.99517,0,-
b,0.110859,0.008922,u,g,i,bb,0.008111,f,f,0,t,g,0.752686,0.648867,-
b,0.143536,0.016797,u,g,ff,ff,0.027486,f,f,0,f,g,0.977263,0.152697,-
a,0.016958,0.008571,u,g,cc,v,0.00003,t,f,0,f,g,0.059188,0.998066,+
b,0.121057,0.023318,u,g,i,v,0.002374,f,f,0,t,g,0.992268,0.014175,-
b,0.147693,0.080769,u,g,i,bb,0,f,f,0,t,g,0.98573,0,-
b,0.009899,0.001517,u,g,i,bb,0.001517,t,t,0.003,t,g,0,0.999944,+
b,0.116259,0.00135,y,p,w,v,0.000932,f,f,0,t,g,0.993197,0.006428,-
b,0.981198,0.04494,u,g,cc,h,0.164781,t,t,0.089881,t,g,0,0,+
a,0.146507,0.010801,u,g,w,v,0.001324,f,f,0,t,g,0.953064,0.26474,-
b,0.272446,0.05881,u,g,m,v,0.006001,t,t,0.019203,t,g,0.960161,0,+
b,0.145526,0.006183,u,g,w,v,0.008656,f,f,0,f,g,0.989297,0,-
b,0.194423,0.009038,u,g,k,h,0.001752,f,f,0,t,s,0.980875,0,-
a,0.998663,0.049058,u,g,d,v,0.016302,f,f,0,t,g,0,0,-
b,0.12865,0.005785,u,g,k,v,0.001653,f,f,0,t,g,0.99165,0.006611,-
b,?,?,y,p,i,v,?,f,f,?,t,g,?,?,-
b,0.87983,0.475289,y,p,ff,ff,0,t,f,0,t,g,0,0,-
b,0.259132,0.005215,u,g,k,ff,0,f,f,0,f,g,0.965828,0,-
a,0.041067,0.020254,u,g,cc,h,0.005749,t,t,0.009856,f,g,0.657073,0.752348,+
b,0.203174,0.027903,u,g,c,v,0.004293,f,f,0,t,g,0,0.978736,-
b,?,?,u,g,k,v,?,f,f,?,f,g,?,?,-
b,0.432982,0.03377,u,g,i,bb,0.009005,f,f,0,f,g,0.900545,0.018011,-
