@relation german_credit-weka.filters.unsupervised.instance.Normalize-N1.0-L2.0-weka.filters.unsupervised.instance.Randomize-S42

@attribute checking_status {<0,0<=X<200,>=200,'no checking'}
@attribute duration numeric
@attribute credit_history {'no credits/all paid','all paid','existing paid','delayed previously','critical/other existing credit'}
@attribute purpose {'new car','used car',furniture/equipment,radio/tv,'domestic appliance',repairs,education,vacation,retraining,business,other}
@attribute credit_amount numeric
@attribute savings_status {<100,100<=X<500,500<=X<1000,>=1000,'no known savings'}
@attribute employment {unemployed,<1,1<=X<4,4<=X<7,>=7}
@attribute installment_commitment numeric
@attribute personal_status {'male div/sep','female div/dep/mar','male single','male mar/wid','female single'}
@attribute other_parties {none,'co applicant',guarantor}
@attribute residence_since numeric
@attribute property_magnitude {'real estate','life insurance',car,'no known property'}
@attribute age numeric
@attribute other_payment_plans {bank,stores,none}
@attribute housing {rent,own,'for free'}
@attribute existing_credits numeric
@attribute job {'unemp/unskilled non res','unskilled resident',skilled,'high qualif/self emp/mgmt'}
@attribute num_dependents numeric
@attribute own_telephone {none,yes}
@attribute foreign_worker {yes,no}
@attribute class {good,bad}

@data
0<=X<200,0.002514,'existing paid','new car',0.999989,<100,>=7,0.000279,'male single',none,0.00014,'no known property',0.003981,none,'for free',0.00007,'high qualif/self emp/mgmt',0.00007,yes,yes,bad
'no checking',0.005915,'existing paid',radio/tv,0.99998,100<=X<500,4<=X<7,0.000197,'female div/dep/mar',none,0.000394,'real estate',0.00207,none,own,0.000099,skilled,0.000099,yes,yes,good
<0,0.01754,'critical/other existing credit',radio/tv,0.988063,500<=X<1000,>=7,0.011693,'male single',none,0.011693,car,0.15201,none,own,0.005847,skilled,0.002923,none,yes,good
'no checking',0.007016,'delayed previously','used car',0.999931,<100,1<=X<4,0.001002,'male single',none,0.000668,'real estate',0.009355,stores,own,0.000668,'unskilled resident',0.000334,none,yes,good
0<=X<200,0.015629,'delayed previously',radio/tv,0.999752,100<=X<500,<1,0.002084,'male single',none,0.001563,'no known property',0.015629,stores,own,0.001042,'high qualif/self emp/mgmt',0.000521,none,yes,bad
<0,0.006255,'existing paid',radio/tv,0.999942,>=1000,<1,0.001191,'female div/dep/mar',none,0.000596,car,0.008638,bank,own,0.000298,skilled,0.000298,none,yes,good
0<=X<200,0.004379,'existing paid',radio/tv,0.999987,>=1000,4<=X<7,0.000091,'male single','co applicant',0.000182,'no known property',0.002463,bank,own,0.000182,skilled,0.000091,yes,yes,bad
<0,0.017341,'critical/other existing credit','new car',0.998538,<100,>=7,0.00578,'male single',none,0.004335,'life insurance',0.050577,none,own,0.00289,skilled,0.001445,none,yes,bad
'no checking',0.009177,'critical/other existing credit',furniture/equipment,0.999904,<100,<1,0.001748,'female div/dep/mar',none,0.001748,'life insurance',0.010051,none,own,0.000437,skilled,0.000437,yes,yes,good
0<=X<200,0.009407,'existing paid',business,0.999776,>=1000,<1,0.001568,'male mar/wid',none,0.001568,'real estate',0.018814,bank,own,0.000523,skilled,0.000523,yes,yes,good
'no checking',0.006368,'existing paid','new car',0.999761,<100,>=7,0.002123,'male single',none,0.002123,car,0.020696,none,own,0.000531,'high qualif/self emp/mgmt',0.000531,yes,yes,good
<0,0.018389,'existing paid',furniture/equipment,0.999114,<100,>=7,0.00613,'female div/dep/mar',none,0.00613,'life insurance',0.036777,none,rent,0.001532,skilled,0.001532,none,yes,good
'no checking',0.008066,'delayed previously',radio/tv,0.99995,<100,1<=X<4,0.000896,'male single',none,0.000448,car,0.005825,none,own,0.000448,'high qualif/self emp/mgmt',0.000224,yes,yes,bad
<0,0.026207,'existing paid','new car',0.999142,'no known savings',>=7,0.004368,'female div/dep/mar',none,0.002184,car,0.031667,bank,own,0.001092,skilled,0.001092,none,yes,bad
'no checking',0.002662,'existing paid','new car',0.999946,'no known savings',1<=X<4,0.000296,'male single',none,0.000592,car,0.010057,none,rent,0.000296,skilled,0.000148,none,yes,bad
<0,0.013735,'existing paid',furniture/equipment,0.999808,<100,<1,0.002289,'male single','co applicant',0.000572,'life insurance',0.013735,none,own,0.000572,'unskilled resident',0.000572,none,no,good
'no checking',0.006787,'existing paid',furniture/equipment,0.999882,<100,1<=X<4,0.001697,'male single',none,0.001131,'real estate',0.013573,none,rent,0.000566,'unskilled resident',0.000566,none,yes,good
'no checking',0.025594,'existing paid',retraining,0.999241,<100,<1,0.004266,'male mar/wid',none,0.003199,car,0.028793,none,own,0.002133,'unskilled resident',0.001066,none,yes,good
0<=X<200,0.014347,'existing paid','new car',0.999503,100<=X<500,<1,0.004782,'female div/dep/mar',none,0.002391,'life insurance',0.027498,bank,own,0.001196,'unskilled resident',0.001196,none,yes,bad
'no checking',0.003911,'existing paid',furniture/equipment,0.999945,100<=X<500,<1,0.000869,'female div/dep/mar',none,0.001738,'life insurance',0.009561,none,rent,0.000435,skilled,0.000435,none,yes,good
0<=X<200,0.006896,'existing paid',business,0.999933,<100,1<=X<4,0.001022,'male single',none,0.000511,car,0.009195,none,own,0.000255,skilled,0.000511,yes,yes,bad
'no checking',0.007765,'existing paid','new car',0.999353,'no known savings',>=7,0.003106,'male single','co applicant',0.001553,'life insurance',0.034942,none,own,0.000776,'unskilled resident',0.000776,none,no,good
'no checking',0.016979,'existing paid',radio/tv,0.999654,<100,1<=X<4,0.00283,'male mar/wid',none,0.001415,'life insurance',0.019809,none,own,0.000707,skilled,0.000707,none,yes,good
<0,0.008003,'existing paid','new car',0.999876,100<=X<500,4<=X<7,0.001778,'male single',none,0.001334,car,0.013338,none,own,0.000445,'high qualif/self emp/mgmt',0.000889,yes,yes,good
0<=X<200,0.005997,'existing paid',furniture/equipment,0.999892,<100,4<=X<7,0.000666,'female div/dep/mar',none,0.001333,'real estate',0.013327,none,rent,0.000333,skilled,0.000333,none,yes,good
<0,0.030802,'critical/other existing credit',radio/tv,0.988236,<100,4<=X<7,0.010267,'female div/dep/mar',none,0.007701,'real estate',0.148877,none,own,0.010267,'unskilled resident',0.002567,yes,yes,good
'no checking',0.008024,'critical/other existing credit','new car',0.999639,<100,>=7,0.002675,'male single',none,0.000669,'real estate',0.025409,none,own,0.001337,'unskilled resident',0.001337,none,yes,good
0<=X<200,0.003092,'existing paid','used car',0.999952,'no known savings',unemployed,0.000155,'male div/sep',none,0.000618,'real estate',0.009276,none,own,0.000155,'high qualif/self emp/mgmt',0.000155,yes,yes,good
0<=X<200,0.010386,'existing paid',radio/tv,0.999815,'no known savings',<1,0.00277,'male single',none,0.000692,'life insurance',0.015925,none,own,0.000692,skilled,0.000692,none,yes,good
'no checking',0.011736,'existing paid',furniture/equipment,0.999533,<100,<1,0.002608,'male mar/wid','co applicant',0.000652,'life insurance',0.028036,none,own,0.000652,'unskilled resident',0.001304,none,yes,bad
0<=X<200,0.016172,'delayed previously','new car',0.999538,<100,>=7,0.001797,'male single',none,0.001797,'no known property',0.025606,bank,'for free',0.000898,skilled,0.000449,yes,yes,bad
<0,0.017992,'delayed previously','new car',0.99931,<100,unemployed,0.002999,'male single',none,0.001499,'real estate',0.032236,none,'for free',0.001499,skilled,0.001499,none,yes,bad
'no checking',0.005527,'existing paid',radio/tv,0.999894,<100,<1,0.000921,'female div/dep/mar',none,0.000921,car,0.013356,bank,own,0.000461,skilled,0.000461,none,yes,good
<0,0.00469,'critical/other existing credit',furniture/equipment,0.999907,'no known savings',<1,0.000938,'female div/dep/mar','co applicant',0.001407,'real estate',0.012663,none,rent,0.000938,skilled,0.000469,none,no,good
>=200,0.006156,'existing paid',radio/tv,0.999972,<100,1<=X<4,0.000684,'male single',none,0.000171,car,0.004104,none,own,0.000171,skilled,0.000171,none,yes,good
0<=X<200,0.003068,'existing paid','new car',0.999982,100<=X<500,1<=X<4,0.000341,'male single',none,0.000341,car,0.005114,none,own,0.000341,skilled,0.00017,yes,yes,good
'no checking',0.009263,'existing paid',repairs,0.999883,<100,<1,0.002058,'female div/dep/mar',none,0.002058,'real estate',0.011836,none,own,0.000515,skilled,0.000515,none,yes,bad
0<=X<200,0.009754,'critical/other existing credit',radio/tv,0.999416,'no known savings',>=7,0.002601,'male single',guarantor,0.002601,'real estate',0.032512,none,own,0.0013,skilled,0.00065,yes,yes,good
'no checking',0.013299,'all paid',business,0.999883,<100,1<=X<4,0.000277,'female div/dep/mar',none,0.000277,'real estate',0.00748,stores,own,0.000277,skilled,0.000277,none,yes,good
<0,0.004334,'existing paid',furniture/equipment,0.999939,<100,1<=X<4,0.000482,'male single','co applicant',0.000722,car,0.010113,none,own,0.000241,skilled,0.000241,none,yes,bad
'no checking',0.00538,'critical/other existing credit',furniture/equipment,0.999947,<100,4<=X<7,0.000717,'female div/dep/mar','co applicant',0.001076,car,0.008608,bank,own,0.000717,skilled,0.000359,none,yes,good
0<=X<200,0.010508,'existing paid',radio/tv,0.998254,<100,4<=X<7,0.005254,'female div/dep/mar',guarantor,0.002627,'real estate',0.057794,none,own,0.001313,'unskilled resident',0.001313,none,yes,good
0<=X<200,0.004189,'delayed previously',furniture/equipment,0.999947,<100,>=7,0.000931,'male div/sep',none,0.000698,'no known property',0.009308,none,own,0.000233,'high qualif/self emp/mgmt',0.000233,yes,yes,bad
'no checking',0.016276,'existing paid','new car',0.999611,100<=X<500,<1,0.002713,'male mar/wid',none,0.002034,'real estate',0.022379,none,own,0.000678,skilled,0.000678,yes,yes,good
<0,0.011054,'critical/other existing credit',business,0.99978,<100,>=7,0.001638,'male single',none,0.001638,car,0.017605,stores,own,0.001638,'high qualif/self emp/mgmt',0.000819,yes,yes,good
0<=X<200,0.003577,'critical/other existing credit',furniture/equipment,0.999976,<100,4<=X<7,0.000238,'male single',none,0.000238,'life insurance',0.005843,none,own,0.000119,skilled,0.000119,none,yes,bad
'no checking',0.00907,'existing paid',furniture/equipment,0.999674,<100,1<=X<4,0.002015,'male single',none,0.002015,'no known property',0.023682,bank,'for free',0.001008,skilled,0.000504,none,yes,good
'no checking',0.012262,'existing paid',business,0.999877,'no known savings',1<=X<4,0.001022,'male div/sep',none,0.000511,'real estate',0.009708,bank,own,0.000255,skilled,0.000255,none,yes,bad
0<=X<200,0.003094,'critical/other existing credit','used car',0.999988,>=1000,>=7,0.000258,'female div/dep/mar',none,0.000516,'no known property',0.003738,none,rent,0.000129,skilled,0.000129,none,yes,good
'no checking',0.004038,'existing paid',radio/tv,0.999964,'no known savings',<1,0.000168,'female div/dep/mar',none,0.000168,car,0.007403,none,own,0.000337,skilled,0.000168,yes,yes,bad
<0,0.013299,'existing paid',retraining,0.99962,<100,4<=X<7,0.004433,'male mar/wid',none,0.004433,'life insurance',0.023273,none,rent,0.001108,skilled,0.001108,none,yes,bad
'no checking',0.003763,'critical/other existing credit',radio/tv,0.999988,<100,1<=X<4,0.000209,'female div/dep/mar',none,0.000209,car,0.003241,stores,own,0.000209,skilled,0.000105,none,yes,good
0<=X<200,0.003005,'existing paid',radio/tv,0.999809,<100,<1,0.000429,'female div/dep/mar',guarantor,0.000429,'real estate',0.019318,none,own,0.000429,skilled,0.000429,none,yes,good
>=200,0.002677,'existing paid','new car',0.999806,'no known savings',<1,0.000669,'male single',none,0.001338,'real estate',0.019407,none,own,0.000669,'unskilled resident',0.001338,none,no,good
'no checking',0.008138,'delayed previously',business,0.999839,500<=X<1000,<1,0.00155,'male single',none,0.000775,'real estate',0.015889,bank,own,0.000388,'unskilled resident',0.000775,none,yes,bad
'no checking',0.004218,'existing paid','new car',0.999957,'no known savings',1<=X<4,0.000844,'male single',none,0.000562,'no known property',0.008155,none,own,0.000281,skilled,0.000281,none,yes,good
0<=X<200,0.00938,'existing paid',furniture/equipment,0.999495,<100,1<=X<4,0.001042,'female div/dep/mar',none,0.002084,car,0.030225,none,own,0.001042,skilled,0.001042,none,no,bad
0<=X<200,0.020495,'delayed previously',radio/tv,0.999152,<100,1<=X<4,0.006832,'male mar/wid','co applicant',0.006832,'real estate',0.034159,none,rent,0.003416,skilled,0.001708,none,yes,good
0<=X<200,0.006833,'existing paid','new car',0.999917,100<=X<500,4<=X<7,0.000569,'male single',none,0.000854,car,0.010819,bank,own,0.000569,skilled,0.000285,yes,yes,good
'no checking',0.006292,'critical/other existing credit',business,0.999962,'no known savings',>=7,0.000524,'male div/sep',none,0.000262,car,0.006029,bank,own,0.000262,'high qualif/self emp/mgmt',0.000262,none,yes,good
0<=X<200,0.009805,'existing paid','new car',0.999243,<100,>=7,0.000817,'male div/sep',none,0.000817,'real estate',0.037584,none,rent,0.001634,skilled,0.000817,none,yes,bad
<0,0.016922,'existing paid',furniture/equipment,0.998402,<100,1<=X<4,0.00282,'male single',guarantor,0.004231,'life insurance',0.053587,none,own,0.00141,'unskilled resident',0.00282,none,yes,good
'no checking',0.013726,'existing paid',education,0.997878,500<=X<1000,>=7,0.00549,'male single',none,0.00549,'no known property',0.063139,none,'for free',0.001373,skilled,0.001373,yes,yes,good
<0,0.014239,'existing paid',radio/tv,0.99956,<100,<1,0.003797,'male mar/wid',none,0.001898,'real estate',0.02563,none,own,0.000949,skilled,0.000949,none,no,good
'no checking',0.010639,'existing paid','new car',0.999655,'no known savings',<1,0.001773,'male single',none,0.000443,'life insurance',0.023939,none,own,0.000443,skilled,0.000443,none,yes,good
0<=X<200,0.009022,'all paid','domestic appliance',0.999932,'no known savings',<1,0.000752,'female div/dep/mar',none,0.000501,'no known property',0.007268,bank,own,0.000251,'unemp/unskilled non res',0.000251,none,yes,good
'no checking',0.006112,'existing paid',radio/tv,0.999853,<100,4<=X<7,0.002037,'male single',none,0.001019,car,0.01579,none,rent,0.001019,'high qualif/self emp/mgmt',0.001019,yes,yes,good
'no checking',0.003802,'existing paid','used car',0.999971,'no known savings',>=7,0.000475,'male single',none,0.000634,car,0.006494,none,own,0.000158,'high qualif/self emp/mgmt',0.000317,yes,yes,good
'no checking',0.002928,'critical/other existing credit',radio/tv,0.999937,'no known savings',1<=X<4,0.000325,'male single',none,0.000651,'real estate',0.010735,none,own,0.000651,skilled,0.000651,none,yes,good
<0,0.009563,'existing paid',radio/tv,0.999861,<100,1<=X<4,0.002125,'female div/dep/mar',none,0.002125,car,0.013282,bank,rent,0.001063,skilled,0.000531,none,yes,bad
'no checking',0.004322,'no credits/all paid',business,0.999953,<100,1<=X<4,0.00048,'male single',none,0.00048,car,0.008643,stores,own,0.00048,skilled,0.00048,none,yes,bad
'no checking',0.002069,'critical/other existing credit',furniture/equipment,0.999962,'no known savings',>=7,0.000345,'male single',none,0.00069,'life insurance',0.008446,none,rent,0.000172,skilled,0.000172,yes,yes,good
'no checking',0.041478,'existing paid',radio/tv,0.997781,<100,unemployed,0.006913,'female div/dep/mar','co applicant',0.009217,'real estate',0.050696,none,rent,0.002304,skilled,0.002304,none,yes,bad
'no checking',0.015035,'existing paid',radio/tv,0.999829,'no known savings',1<=X<4,0.001671,'female div/dep/mar',none,0.001671,car,0.010441,none,own,0.000418,skilled,0.000418,none,yes,good
0<=X<200,0.008816,'existing paid',business,0.999541,<100,<1,0.003306,'male mar/wid',none,0.002204,'real estate',0.028653,none,own,0.001102,skilled,0.001102,yes,yes,good
0<=X<200,0.010679,'existing paid',business,0.999861,<100,<1,0.001582,'female div/dep/mar',none,0.000396,'life insurance',0.012656,none,own,0.000396,skilled,0.000791,yes,yes,good
>=200,0.009178,'existing paid','new car',0.999887,<100,>=7,0.00153,'female div/dep/mar',none,0.00102,car,0.011727,none,own,0.00051,'high qualif/self emp/mgmt',0.00051,none,yes,good
0<=X<200,0.011462,'existing paid',repairs,0.999502,<100,>=7,0.003057,'male single',none,0.003057,car,0.029038,none,own,0.001528,'unskilled resident',0.000764,none,yes,good
'no checking',0.008559,'critical/other existing credit',radio/tv,0.998606,'no known savings',>=7,0.005706,'male single',none,0.005706,'no known property',0.051357,none,'for free',0.002853,skilled,0.001427,none,yes,good
0<=X<200,0.008495,'critical/other existing credit',business,0.999889,'no known savings',4<=X<7,0.001416,'male single',none,0.001062,'no known property',0.012034,none,own,0.000708,skilled,0.000708,yes,yes,good
0<=X<200,0.005656,'existing paid',radio/tv,0.999706,<100,1<=X<4,0.002828,'male single',guarantor,0.001414,'real estate',0.023331,none,own,0.000707,skilled,0.000707,none,no,good
<0,0.009308,'existing paid',furniture/equipment,0.999818,<100,1<=X<4,0.003103,'male single',guarantor,0.000776,'life insurance',0.016289,none,own,0.000776,'unskilled resident',0.000776,none,yes,good
0<=X<200,0.011352,'existing paid',radio/tv,0.996443,500<=X<1000,1<=X<4,0.005045,'female div/dep/mar',none,0.003784,'real estate',0.083247,none,own,0.001261,'unskilled resident',0.001261,none,yes,good
<0,0.009944,'existing paid',furniture/equipment,0.999898,<100,1<=X<4,0.000276,'male single',guarantor,0.000552,'life insurance',0.01022,none,own,0.000276,skilled,0.000552,none,yes,good
<0,0.01737,'existing paid','new car',0.999522,'no known savings',1<=X<4,0.002895,'female div/dep/mar',none,0.001448,'life insurance',0.025332,none,own,0.000724,skilled,0.000724,none,yes,bad
'no checking',0.006854,'existing paid',furniture/equipment,0.999855,<100,>=7,0.000762,'male single',none,0.003046,car,0.01523,none,own,0.000762,skilled,0.000762,none,yes,good
0<=X<200,0.008085,'existing paid',radio/tv,0.999824,'no known savings',1<=X<4,0.001347,'male mar/wid',none,0.000674,'real estate',0.016843,none,own,0.000674,skilled,0.000674,yes,yes,bad
<0,0.006458,'existing paid',furniture/equipment,0.999906,<100,<1,0.002153,'female div/dep/mar',none,0.000538,car,0.01184,none,rent,0.000538,skilled,0.000538,none,yes,good
'no checking',0.01287,'critical/other existing credit',radio/tv,0.997456,'no known savings',>=7,0.00429,'male single',none,0.00429,'real estate',0.069715,none,own,0.00429,skilled,0.001073,none,yes,good
'no checking',0.003402,'existing paid','new car',0.999912,'no known savings',<1,0.000567,'male single',none,0.000851,'life insurance',0.012758,none,own,0.000284,'high qualif/self emp/mgmt',0.000567,yes,yes,good
0<=X<200,0.019179,'existing paid',radio/tv,0.998928,<100,<1,0.006393,'male mar/wid',guarantor,0.001598,'real estate',0.041555,bank,own,0.001598,'unskilled resident',0.001598,none,yes,good
<0,0.015059,'existing paid',education,0.997645,<100,<1,0.00502,'female div/dep/mar',none,0.00502,'life insurance',0.06651,none,own,0.001255,skilled,0.001255,none,yes,bad
'no checking',0.018768,'existing paid',radio/tv,0.999422,<100,>=7,0.003128,'male single',none,0.000782,'real estate',0.028153,none,own,0.000782,'high qualif/self emp/mgmt',0.000782,yes,yes,good
>=200,0.008205,'critical/other existing credit',radio/tv,0.999875,'no known savings',>=7,0.001094,'male single',none,0.001094,'life insurance',0.013401,stores,own,0.000547,'unskilled resident',0.000273,none,yes,good
<0,0.017793,'existing paid',radio/tv,0.999381,100<=X<500,4<=X<7,0.005931,'male mar/wid',none,0.001483,'life insurance',0.029655,none,own,0.001483,skilled,0.001483,none,yes,bad
'no checking',0.009557,'all paid',radio/tv,0.999712,100<=X<500,>=7,0.002549,'male single',none,0.002549,car,0.021664,bank,own,0.000637,'unskilled resident',0.001274,none,yes,good
>=200,0.008456,'existing paid','new car',0.99923,>=1000,<1,0.002819,'male mar/wid',none,0.002819,'real estate',0.038052,none,own,0.001409,'unemp/unskilled non res',0.001409,none,no,good
0<=X<200,0.014262,'existing paid',business,0.999509,100<=X<500,4<=X<7,0.002377,'female div/dep/mar',none,0.004754,'real estate',0.027335,none,rent,0.001188,'unskilled resident',0.001188,none,yes,good
0<=X<200,0.002908,'existing paid',radio/tv,0.999887,<100,<1,0.001939,'male mar/wid',none,0.001454,car,0.01454,none,rent,0.000485,'high qualif/self emp/mgmt',0.000485,yes,yes,good
0<=X<200,0.016214,'existing paid',radio/tv,0.994457,'no known savings',>=7,0.010809,'male single',none,0.010809,'life insurance',0.102688,none,own,0.002702,skilled,0.002702,none,yes,good
>=200,0.005903,'existing paid',furniture/equipment,0.999873,<100,<1,0.000328,'female div/dep/mar',none,0.000328,'life insurance',0.014757,stores,own,0.000328,'unskilled resident',0.000328,none,yes,good
'no checking',0.015018,'critical/other existing credit',education,0.999308,<100,>=7,0.002503,'male single',none,0.002503,'no known property',0.03379,none,'for free',0.001251,skilled,0.001251,none,yes,good
0<=X<200,0.004959,'delayed previously','new car',0.999221,<100,unemployed,0.003306,'male single',none,0.003306,'life insurance',0.038845,none,own,0.000826,'high qualif/self emp/mgmt',0.000826,yes,yes,bad
<0,0.005583,'all paid',radio/tv,0.999891,<100,1<=X<4,0.001861,'male div/sep',none,0.000465,'no known property',0.013493,none,'for free',0.000465,skilled,0.000465,none,yes,bad
0<=X<200,0.013895,'critical/other existing credit',furniture/equipment,0.99968,<100,<1,0.003088,'female div/dep/mar',none,0.000772,'life insurance',0.020843,none,own,0.001544,skilled,0.000772,none,yes,good
'no checking',0.009859,'critical/other existing credit',furniture/equipment,0.999086,'no known savings',>=7,0.002629,'male single',none,0.002629,'life insurance',0.041409,none,own,0.000657,skilled,0.000657,none,yes,good
0<=X<200,0.009334,'critical/other existing credit',furniture/equipment,0.999825,<100,<1,0.001037,'male single',none,0.001037,'real estate',0.016076,none,own,0.001037,'unskilled resident',0.000519,none,yes,bad
>=200,0.00842,'existing paid',furniture/equipment,0.999213,'no known savings',>=7,0.002105,'female div/dep/mar',none,0.002807,'real estate',0.038593,none,own,0.000702,'high qualif/self emp/mgmt',0.000702,yes,yes,good
'no checking',0.007156,'existing paid',furniture/equipment,0.999826,<100,1<=X<4,0.001193,'male single',none,0.00159,'real estate',0.017094,none,own,0.000398,skilled,0.000398,yes,yes,good
>=200,0.006401,'existing paid',furniture/equipment,0.999955,<100,<1,0.000533,'female div/dep/mar',none,0.001067,car,0.006935,none,own,0.000267,skilled,0.000267,none,yes,good
0<=X<200,0.005994,'critical/other existing credit',education,0.999722,<100,>=7,0.001332,'female div/dep/mar',none,0.001998,car,0.022645,none,own,0.001332,'high qualif/self emp/mgmt',0.000666,yes,yes,bad
'no checking',0.028567,'critical/other existing credit',radio/tv,0.998263,500<=X<1000,>=7,0.006348,'male single',none,0.004761,'life insurance',0.050786,bank,own,0.003174,'high qualif/self emp/mgmt',0.001587,yes,yes,good
'no checking',0.002817,'existing paid','new car',0.999974,500<=X<1000,>=7,0.000188,'female div/dep/mar',none,0.000751,'no known property',0.006574,none,'for free',0.000188,skilled,0.000188,none,yes,good
0<=X<200,0.010286,'delayed previously',furniture/equipment,0.999868,'no known savings',<1,0.001714,'male single',none,0.000857,'life insurance',0.012429,bank,own,0.000429,'unskilled resident',0.000429,none,yes,good
'no checking',0.008266,'delayed previously',radio/tv,0.999043,'no known savings',>=7,0.003543,'male single',none,0.004724,'no known property',0.042512,none,'for free',0.001181,skilled,0.001181,none,yes,good
<0,0.008058,'existing paid',radio/tv,0.999907,<100,<1,0.001535,'female div/dep/mar',none,0.001535,'life insurance',0.010743,none,rent,0.000384,'high qualif/self emp/mgmt',0.000384,yes,yes,good
'no checking',0.009748,'critical/other existing credit',radio/tv,0.999867,'no known savings',>=7,0.000975,'male single',none,0.00065,car,0.012998,none,own,0.00065,skilled,0.00065,yes,yes,good
<0,0.015799,'existing paid','new car',0.99927,<100,4<=X<7,0.005266,'male single',none,0.002633,'real estate',0.034231,none,own,0.001317,skilled,0.001317,none,yes,bad
'no checking',0.00466,'critical/other existing credit',furniture/equipment,0.99993,<100,<1,0.000466,'female div/dep/mar',none,0.001398,'real estate',0.010717,none,rent,0.000932,skilled,0.000466,none,yes,good
'no checking',0.023675,'critical/other existing credit','new car',0.986441,>=1000,1<=X<4,0.007892,'female div/dep/mar',none,0.007892,'real estate',0.161776,bank,own,0.007892,'unskilled resident',0.003946,none,yes,good
'no checking',0.006997,'existing paid',radio/tv,0.999934,500<=X<1000,>=7,0.000875,'male single',none,0.000583,car,0.009037,none,own,0.000292,skilled,0.000583,yes,yes,good
'no checking',0.015823,'critical/other existing credit',radio/tv,0.999468,>=1000,1<=X<4,0.002637,'female div/dep/mar',none,0.000659,'real estate',0.028349,none,own,0.001319,'unskilled resident',0.000659,none,yes,good
>=200,0.0081,'critical/other existing credit','new car',0.998968,500<=X<1000,unemployed,0.00135,'male single',none,0.0027,'no known property',0.044549,bank,'for free',0.002025,'unemp/unskilled non res',0.000675,none,yes,good
0<=X<200,0.017504,'existing paid','new car',0.999166,<100,4<=X<7,0.002917,'male mar/wid',none,0.004376,car,0.036466,bank,own,0.001459,'unskilled resident',0.001459,none,yes,bad
'no checking',0.007712,'delayed previously',repairs,0.999337,>=1000,>=7,0.002571,'male single',none,0.002571,'no known property',0.035346,none,'for free',0.001285,skilled,0.001285,none,yes,bad
<0,0.00904,'existing paid',furniture/equipment,0.9998,'no known savings',4<=X<7,0.001808,'male single',none,0.001808,car,0.017628,none,own,0.000452,skilled,0.000452,yes,yes,good
<0,0.014798,'existing paid','new car',0.999703,<100,<1,0.003288,'female div/dep/mar',none,0.002466,car,0.018909,none,rent,0.000822,skilled,0.000822,yes,yes,bad
0<=X<200,0.011563,'existing paid',business,0.999214,100<=X<500,4<=X<7,0.002891,'male single',none,0.003854,'real estate',0.037579,none,own,0.000964,'unskilled resident',0.000964,none,yes,good
<0,0.008827,'existing paid',furniture/equipment,0.999911,<100,1<=X<4,0.00049,'female div/dep/mar',none,0.001962,'real estate',0.009808,bank,rent,0.00049,skilled,0.00049,none,yes,bad
'no checking',0.004545,'existing paid',furniture/equipment,0.999942,<100,<1,0.00101,'female div/dep/mar','co applicant',0.00101,car,0.009595,none,rent,0.00101,skilled,0.000505,none,yes,bad
'no checking',0.010228,'critical/other existing credit','used car',0.999834,<100,4<=X<7,0.001705,'male single',none,0.001279,car,0.014917,none,own,0.000852,skilled,0.000426,yes,yes,good
'no checking',0.004349,'no credits/all paid',furniture/equipment,0.999913,<100,>=7,0.000725,'male single',none,0.00145,'life insurance',0.012322,none,own,0.000725,skilled,0.000362,none,yes,good
'no checking',0.003257,'critical/other existing credit','used car',0.999991,'no known savings',1<=X<4,0.000362,'male single',none,0.000181,car,0.002714,none,own,0.00009,'high qualif/self emp/mgmt',0.00009,yes,yes,good
'no checking',0.013775,'no credits/all paid',repairs,0.99985,<100,1<=X<4,0.001531,'male single',none,0.000765,car,0.010331,none,own,0.000765,skilled,0.000383,none,yes,good
'no checking',0.011832,'critical/other existing credit',furniture/equipment,0.999819,<100,4<=X<7,0.000986,'male single',none,0.000986,'life insurance',0.01479,none,own,0.000986,'unskilled resident',0.000493,none,yes,good
'no checking',0.01039,'critical/other existing credit',furniture/equipment,0.999905,500<=X<1000,1<=X<4,0.00099,'male single',none,0.00099,'real estate',0.008906,none,own,0.000495,skilled,0.000247,yes,yes,good
'no checking',0.003442,'delayed previously',business,0.999802,100<=X<500,1<=X<4,0.000574,'male single',none,0.001147,'real estate',0.019503,none,own,0.001147,'unskilled resident',0.000574,none,yes,good
<0,0.020107,'all paid','new car',0.999495,<100,unemployed,0.000838,'female div/dep/mar','co applicant',0.003351,'no known property',0.024296,none,rent,0.001676,'unemp/unskilled non res',0.000838,none,yes,bad
'no checking',0.003922,'existing paid',radio/tv,0.999792,>=1000,4<=X<7,0.000654,'male div/sep',none,0.001307,'real estate',0.019937,none,own,0.000327,'unskilled resident',0.000327,none,yes,good
'no checking',0.006628,'existing paid',radio/tv,0.99994,100<=X<500,>=7,0.000552,'male single',none,0.001105,car,0.008561,none,own,0.000552,skilled,0.000276,none,yes,bad
<0,0.035066,'all paid',retraining,0.990614,<100,>=7,0.011689,'male mar/wid',none,0.002922,car,0.131497,bank,own,0.002922,'unskilled resident',0.002922,none,yes,good
0<=X<200,0.009926,'existing paid',business,0.999641,500<=X<1000,>=7,0.000709,'male mar/wid',none,0.001418,'real estate',0.024814,none,own,0.000709,skilled,0.000709,yes,yes,good
